SEA Analysis Data Result,,,,,,,,,,,,,,,,,,,,,,,,,,,
File:,20 11 2015 15-55-34.accdb,,,,,,,,,,,,,,,,,,,,,,,,,,
Method:,90C,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample:,5000 rpm energy with dummy area,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Mass (mg):,7,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,
n/nm,Solvent Name,Unit,En. (Stz Max),En. (Stz Com),En. (Pol Max),En. (Pol Com),Interpolated Retention Volume (Max),Interpolated Retention Volume (Com),Column Temperature [Kelvin],,,,,,,,,,,,,,,,,,
0.0075,NONANE,dG (kJ/Mol),,,,,5808.970035,8455.915788,363.1521169,,,,,,,,,,,,,,,,,,
0.0075,OCTANE,dG (kJ/Mol),,,,,1459.431514,2113.839865,363.1508922,,,,,,,,,,,,,,,,,,
0.0075,HEPTANE,dG (kJ/Mol),,,,,354.0164942,523.4007516,363.1505228,,,,,,,,,,,,,,,,,,
0.0075,HEXANE,dG (kJ/Mol),,,,,81.02373289,113.3009243,363.1518535,,,,,,,,,,,,,,,,,,
0.0075,DICHLOROMETHANE,dG (kJ/Mol),8.305897609,9.278571223,8.794726056,9.767990954,24.03641131,45.86694255,363.152851,,,,,,,,,,,,,,,,,,
0.0075,ETHYL ACETATE,dG (kJ/Mol),14.25085946,15.97028041,12.32065539,14.02411654,464.0595685,1142.096925,363.1556359,,,,,,,,,,,,,,,,,,
0.0075,"1,4-DIOXANE",dG (kJ/Mol),11.86960179,13.33799442,14.64593607,16.13211399,847.5588615,1938.820186,363.1522475,,,,,,,,,,,,,,,,,,
0.01,NONANE,dG (kJ/Mol),,,,,5463.153641,8010.917279,363.1521169,,,,,,,,,,,,,,,,,,
0.01,OCTANE,dG (kJ/Mol),,,,,1379.564785,2032.605096,363.1508922,,,,,,,,,,,,,,,,,,
0.01,HEPTANE,dG (kJ/Mol),,,,,339.8854779,508.0377473,363.1505228,,,,,,,,,,,,,,,,,,
0.01,HEXANE,dG (kJ/Mol),,,,,80.9575624,105.6894563,363.1518535,,,,,,,,,,,,,,,,,,
0.01,DICHLOROMETHANE,dG (kJ/Mol),9.254835094,10.17326071,9.736912415,10.66317326,34.43035134,57.83979798,363.152851,,,,,,,,,,,,,,,,,,
0.01,ETHYL ACETATE,dG (kJ/Mol),13.63939803,15.71687071,11.73596138,13.76501777,391.0571345,987.2712774,363.1556359,,,,,,,,,,,,,,,,,,
0.01,"1,4-DIOXANE",dG (kJ/Mol),11.40297791,13.01674612,14.14085256,15.81762814,735.0152049,1644.802974,363.1522475,,,,,,,,,,,,,,,,,,
0.02,NONANE,dG (kJ/Mol),,,,,4266.162174,6700.130661,363.1521169,,,,,,,,,,,,,,,,,,
0.02,OCTANE,dG (kJ/Mol),,,,,1123.474677,1748.492155,363.1508922,,,,,,,,,,,,,,,,,,
0.02,HEPTANE,dG (kJ/Mol),,,,,285.7416626,482.3948322,363.1505228,,,,,,,,,,,,,,,,,,
0.02,HEXANE,dG (kJ/Mol),,,,,73.42331403,108.101361,363.1518535,,,,,,,,,,,,,,,,,,
0.02,DICHLOROMETHANE,dG (kJ/Mol),14.05832442,13.00410037,14.52532586,13.46600938,173.5078935,182.4667439,363.152851,,,,,,,,,,,,,,,,,,
0.02,ETHYL ACETATE,dG (kJ/Mol),12.00567079,14.43169419,10.16863717,12.57182926,226.0228491,758.9521427,363.1556359,,,,,,,,,,,,,,,,,,
0.02,"1,4-DIOXANE",dG (kJ/Mol),10.09724963,12.23303628,12.74222126,14.89455212,451.7850363,1394.242364,363.1522475,,,,,,,,,,,,,,,,,,
