Coverage,Dispersive Surface Energy (COM),Error,R Square
0.0075,113.750830603,3.87326193243,0.99942062081
0.01,114.339598015,5.34245665962,0.998909602403
0.02,103.434052602,4.60814375058,0.999008565172
0.03,100.712078784,1.88439749719,0.999824984744
0.05,95.6332528849,2.20524902482,0.999734201837
0.07,91.4074397987,0.94751287267,0.999946277796
0.09,86.2197232851,2.31273651054,0.999640372532
0.1,83.946202137,2.94710782459,0.999384125254
0.13,75.4518705994,2.85490288782,0.999284677493
0.15,70.2340815511,4.91041051548,0.997561910468
0.2,68.8121729409,5.18259995678,0.997171834388
0.25,67.8097572834,4.70068023924,0.99760301786
0.3,66.402116851,3.11630852445,0.998899958561
0.35,64.8605589449,0.369381890802,0.999983783662
0.4,60.0302121592,2.01277190338,0.999438208299
