SEA Analysis Data Result,,,,,,,,,,,,,,,,,,,,,,,,,,,
File:,17 01 2015 14-38-59.accdb,,,,,,,,,,,,,,,,,,,,,,,,,,
Method:,SURFACE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample:,surface area m=7mg,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Mass (mg):,7,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,
n/nm,Solvent Name,Unit,En. (Stz Max),En. (Stz Com),En. (Pol Max),En. (Pol Com),Interpolated Retention Volume (Max),Interpolated Retention Volume (Com),Column Temperature [Kelvin],,,,,,,,,,,,,,,,,,
1,OCTANE,dG (kJ/Mol),,,,,1821.264743,2753.600443,293.1531274,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dispersive Surface Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,
n/nm,Disp. Surf. En. (mJ/m^2) - Stz & Max,Disp. Surf. En. (mJ/m^2) - Stz & Com,Disp. Surf. En. (mJ/m^2) - DnG & Max,Disp. Surf. En. (mJ/m^2) - DnG & Com,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injection Items,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Injection Name,Solvent,Injection Time [ms],Duration [min],Target Fractional Surface Coverage,Actual Fractional Surface Coverage,Column Temperature [Kelvin],Column Pressure Drop [Torr],Exit Flow Rate [sccm],Peak Area [µV•min],Peak Max (Signal) [µV],Peak Max (Time) [min],Peak Com [min],Peak Com/Max,Ret Volume (Max) [ml/g],Ret Volume (Com) [ml/g],Net Ret Time (Max) [min],Net Ret Volume (Max) [ml/g],Net Ret Time (Com) [min],Net Ret Volume (Com) [ml/g],Partial Pressure [Torr],Pres Ret Volume (Max) [mMol/(g•Torr)],Pres Ret Volume (Com) [mMol/(g•Torr)],Amount  [mMol/g],Amount  [mMol],Amount (Max) [mMol/g],Amount (Com) [mMol/g]
1,colConditioning1,n/a,n/a,120,n/a,0,422.6681503,180.5768509,19.99250031,-0.542927178,8.910143105,26.83768333,26.54702252,0.989169676,105616.1953,104472.3377,0,0,0,0,0,0,0,0,0,0,0
2,methaneInjection1,Methane,3000,3,n/a,0,293.5815853,113.7368011,20,12360.14518,455238.9503,0.183283333,0.193278712,1.054535119,522.8089102,551.3203561,0,0,0,0,0,0,0,0,0,0,0
3,methaneInjection2,Methane,3000,3,n/a,0,292.7616095,115.625248,19.99250031,12334.45642,457576.1424,0.183266667,0.192934133,1.052750817,520.4780516,547.9336942,0,0,0,0,0,0,0,0,0,0,0
4,injection1,OCTANE,2908,60,0.05,0,293.0302547,113.2647018,20.00749969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,injection2,OCTANE,5326,50,0.1,0,293.1384548,113.1931534,19.99250031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,injection3,OCTANE,7376,45,0.15,0,293.1472849,113.2933006,19.99500084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,injection4,OCTANE,9197,40,0.2,0.131797085,293.1478399,113.2647018,20.00249958,6166.482927,691.4678804,3.885367,9.038325032,2.326247439,11071.2111,25754.37647,3.701258667,10546.60114,8.844826712,25203.01009,0.019239343,0.576888472,1.378579296,0.028781062,0.000201467,0.011098955,0.026522959
8,injection5,OCTANE,10929,35,0.25,0.167466951,293.1499199,113.1216011,19.97749996,7910.548167,1322.043578,2.73575,6.756411051,2.469674148,7786.443367,19229.97789,2.551641667,7262.437478,6.562912731,18679.24639,0.03648055,0.397245205,1.021728736,0.036570435,0.000255993,0.017947942,0.044138797
9,injection6,OCTANE,12705,30,0.3,0.20770819,293.1458601,113.2933006,19.98999977,9914.256028,2357.035772,2.05265,5.24903,2.557196794,5845.149763,14947.19824,1.868541667,5320.880754,5.05553168,14396.19019,0.064325192,0.29104879,0.787462439,0.045358077,0.000317507,0.026052091,0.066065406
10,injection7,OCTANE,14641,25,0.35,0.231363368,293.1522907,113.1931496,20.00499916,11109.11716,3633.267733,1.674467,3.70331593,2.211638647,4772.219188,10554.42439,1.490358667,4247.511731,3.509817611,10002.95554,0.098493627,0.232331091,0.547143297,0.050523753,0.000353666,0.033990481,0.084760436
11,injection8,OCTANE,16825,20,0.4,0.282646106,293.1478199,113.2646523,19.97999954,13739.5409,5664.062427,1.414533,3.251594554,2.298705335,4026.125945,9254.87719,1.230424667,3502.106118,3.058096234,8704.131039,0.151857959,0.191561694,0.476107244,0.061722572,0.000432058,0.044213043,0.110167581
12,injection9,OCTANE,19318,17,0.45,0.328516701,293.1541952,113.3505478,19.99000072,16134.01053,8044.460875,1.267917,2.807238226,2.214055199,3610.505886,7993.859328,1.083808667,3086.24111,2.613739906,7442.855735,0.213370054,0.168810624,0.407107895,0.071739519,0.000502177,0.054596938,0.135209641
13,injection10,OCTANE,22148,15,0.5,0.358624888,293.155475,114.7668991,19.98750019,17724.01273,10079.8827,1.1796,2.472979748,2.096456213,3355.574324,7034.814639,0.995491667,2831.846623,2.279481429,6484.375513,0.265711032,0.154895127,0.354679579,0.078314366,0.000548201,0.0627043,0.153773917
14,injection11,OCTANE,25311,12,0.55,0.378900517,293.1515898,114.2375488,20.00250053,18801.783,12016.50355,1.122983,2.109806296,1.878751767,3197.953053,6008.159948,0.938874667,2673.662118,1.916307976,5457.128862,0.315249354,0.146244757,0.29849564,0.082742036,0.000579194,0.06994902,0.16856089
15,injection12,OCTANE,28776,10,0.6,0.415732178,293.1564554,115.510849,19.99750042,20771.6707,14778.4693,1.057983,1.91157042,1.806806366,3009.700442,5437.945919,0.873874667,2485.957686,1.7180721,4887.49097,0.385150234,0.135975388,0.267332982,0.090785115,0.000635496,0.07945382,0.187247701
16,injection13,OCTANE,32487,10,0.65,0.455363632,293.1612743,115.9257011,19.99249935,22904.58657,17551.5591,1.021333,1.812936885,1.775069331,2903.992542,5154.788099,0.837224667,2380.510752,1.619438566,4604.607426,0.454484117,0.130205576,0.251855852,0.099439596,0.000696077,0.088481478,0.204709845
17,injection14,OCTANE,36370,10,0.7,0.492554471,293.1495651,116.0401535,19.99750042,24913.88634,20011.39654,0.988017,1.759597821,1.780938811,2809.649281,5003.813449,0.803908667,2286.095692,1.566099501,4453.557316,0.515167771,0.125046399,0.243603671,0.107561109,0.000752928,0.09606975,0.219492606
18,injection15,OCTANE,40343,10,0.75,0.529445393,293.1470198,115.9400024,19.99499989,26909.618,22493.09446,0.97465,1.71249576,1.757036639,2771.443659,4869.528052,0.790541667,2247.926629,1.518997441,4319.310342,0.576335879,0.122959669,0.236262591,0.115617129,0.00080932,0.103590961,0.233944342
19,injection16,OCTANE,44318,10,0.8,0.562796828,293.1551699,116.0974007,19.99499989,28712.21747,25070.68235,0.954683,1.632840318,1.710348165,2714.469808,4642.688456,0.770574667,2190.990798,1.439341998,4092.510705,0.639976268,0.119841996,0.223850621,0.122900217,0.000860302,0.111217752,0.248190282
20,injection17,OCTANE,48207,10,0.85,0.599228242,293.1623949,115.9686012,19.99750042,30675.31593,27577.33182,0.949683,1.597630214,1.682277364,2700.879399,4543.628276,0.765574667,2177.278992,1.404131895,3993.322938,0.701477871,0.119089058,0.218419903,0.130855892,0.000915991,0.118146875,0.256762843
21,injection18,OCTANE,51933,5,0.9,0.594480859,293.1564354,115.8255501,19.98500061,30420.00531,30023.13769,0.929683,1.347269676,1.449171036,2642.534594,3829.484594,0.745574667,2119.224347,1.153771356,3279.484214,0.764477517,0.115916041,0.179379228,0.129819186,0.000908734,0.125649444,0.27052322
22,injection19,OCTANE,55431,5,0.95,0.651052344,293.1532301,116.7125473,20.02750015,33448.84884,34686.10841,0.891367,1.289966101,1.447177314,2537.548816,3672.283079,0.707258667,2013.42813,1.096467781,3121.430925,0.877804453,0.110130468,0.170735992,0.14217293,0.000995211,0.137565804,0.286868137
23,injection20,OCTANE,58648,5,1,0.683936573,293.1566309,116.8699493,19.98999977,35192.47318,36983.85197,0.886383,1.279920307,1.443981109,2518.411825,3636.5391,0.702274667,1995.318982,1.086421988,3086.767211,0.936266766,0.109138668,0.168837998,0.149353992,0.001045478,0.143946303,0.296738797
24,methaneInjection3,Methane,3000,3,n/a,0,293.1528353,114.0086479,19.99500084,12622.49292,463843.686,0.184966667,0.193990948,1.048788687,526.6169308,552.3098796,0,0,0,0,0,0,0,0,0,0,0
25,methaneInjection4,Methane,3000,3,n/a,0,293.1524843,116.6982498,20,12547.78916,464033.6626,0.184916667,0.193789486,1.0479828,525.7024709,550.9271474,0,0,0,0,0,0,0,0,0,0,0
